congress,latestAction,number,purpose,type,updateDate,url,description
118,"{'actionDate': '2024-09-25', 'text': 'Amendment SA 3299, not withstanding passage of the bill S.91, agreed to in Senate by Unanimous Consent.'}",3299,To amend the title.,SAMDT,2024-09-27T11:08:18Z,https://api.congress.gov/v3/amendment/118/samdt/3299?format=json,
118,"{'actionDate': '2024-09-25', 'text': 'Amendment SA 3301 agreed to in Senate by Unanimous Consent.'}",3301,To amend the preamble.,SAMDT,2024-09-27T11:08:18Z,https://api.congress.gov/v3/amendment/118/samdt/3301?format=json,
118,"{'actionDate': '2024-09-25', 'text': 'Amendment SA 3300 agreed to in Senate by Unanimous Consent.'}",3300,In the nature of a substitute.,SAMDT,2024-09-27T11:08:18Z,https://api.congress.gov/v3/amendment/118/samdt/3300?format=json,
118,"{'actionDate': '2024-09-25', 'actionTime': '17:53:22', 'text': 'On agreeing to the Fitzgerald amendment (A002) Agreed to without objection.'}",1225,,HAMDT,2024-09-27T14:22:31Z,https://api.congress.gov/v3/amendment/118/hamdt/1225?format=json,"An amendment to change the title of the bill to read ""A bill to amend title 18, United States Code, to prohibit fraud in connection with posting bail.""."
118,"{'actionDate': '2024-09-25', 'actionTime': '16:39:55', 'text': 'On agreeing to the Nunn (IA) amendment (A001) Agreed to by recorded vote: 419 - 1 (Roll no. 451).'}",1220,Amendment adds to the sanction list under section 4 in the bill any Chinese State-Owned Enterprise that knowingly manufactures or distributes any chemicals used in the production of illicit fentanyl.,HAMDT,2024-10-02T08:09:13Z,https://api.congress.gov/v3/amendment/118/hamdt/1220?format=json,An amendment numbered 1 printed in Part B of House Report 118-705 to add to the sanction list under section 4 any Chinese State-Owned Enterprise that knowingly manufactures or distributes any chemicals used in the production of illicit fentanyl.
118,"{'actionDate': '2024-09-25', 'text': 'On agreeing to the Rules amendment (A001) Agreed to without objection.'}",1224,,HAMDT,2024-09-26T08:24:16Z,https://api.congress.gov/v3/amendment/118/hamdt/1224?format=json,"Pursuant to the provisions of H. Res. 1486, in lieu of the amendment in the nature of a substitute recommended by the Committee on the Judiciary now printed in the bill, an amendment in the nature of a substitute consisting of the text of Rules Committee Print 118-51 is considered adopted."
118,"{'actionDate': '2024-09-25', 'actionTime': '13:15:24', 'text': 'On agreeing to the Ogles amendment (A004) Agreed to by voice vote.'}",1223,,HAMDT,2024-09-27T14:14:35Z,https://api.congress.gov/v3/amendment/118/hamdt/1223?format=json,An amendment numbered 4 printed in Part B of House Report 118-705 to require the President to certify that the PRC and CCP have ceased their oppression of the Tibetan people as a condition of terminating sanctions.
118,"{'actionDate': '2024-09-25', 'actionTime': '13:12:09', 'text': 'On agreeing to the Ogles amendment (A003) Agreed to by voice vote.'}",1222,,HAMDT,2024-09-27T14:13:34Z,https://api.congress.gov/v3/amendment/118/hamdt/1222?format=json,An amendment numbered 3 printed in Part B of House Report 118-705 to clarify that alternate members of the Central Committee of the Chinese Communist Party are also subject to the sanctions described in subsection (c) of Section 4.
118,"{'actionDate': '2024-09-25', 'actionTime': '13:04:43', 'text': 'On agreeing to the Amo amendment (A002) Agreed to by voice vote.'}",1221,,HAMDT,2024-09-27T14:11:46Z,https://api.congress.gov/v3/amendment/118/hamdt/1221?format=json,"An amendment numbered 2 printed in Part B of House Report 118-705 to add engaging in efforts to interfere in U.S. federal, state, and local elections to List of Qualifications for ""SANCTIONABLE CONDUCT.""."
118,,3298,,SAMDT,2024-09-26T11:08:19Z,https://api.congress.gov/v3/amendment/118/samdt/3298?format=json,
