committee_id,count,cycle,size,total
C00235721,5.0,2002,1000,5000.00
C00542985,50.0,2014,500,25450.00
C00290866,10.0,2002,200,3720.00
C00194555,15.0,1998,200,5150.00
C00331173,10.0,2008,1000,10700.00
C00010363,71.0,2022,1000,74700.00
C00507780,5.0,2012,2000,14950.00
C00257121,15.0,2020,1000,15000.00
C60000148,271.0,1992,500,157101.00
C00663211,9.0,2024,1000,10500.00
C00386383,2.0,2006,500,1000.00
C00468413,691.0,2014,200,178497.06
C00638163,9.0,2018,200,2250.00
C00089136,2.0,2016,1000,2000.00
C00007070,1.0,2004,500,500.00
C00092957,2.0,2004,1000,2400.00
C00421420,,2006,0,2846.88
C00041608,,2004,0,8275.37
C00306670,11.0,1996,200,2950.00
C00763052,1.0,2022,1000,1400.00
C00791194,,2024,0,0.00
C90014663,,2016,0,
C00385534,1.0,2004,2000,2500.00
C00821272,30.0,2022,2000,161500.00
C00239350,,1990,0,200.00
C00553933,28.0,2014,500,14000.00
C00016386,128.0,2018,500,93750.00
C00458679,105.0,2012,200,27586.00
C00101485,39.0,2012,200,11348.96
C00236489,44.0,1994,200,12325.00
C00327023,449.0,1998,500,236500.00
C00013524,17.0,1988,500,8750.00
C00606939,,2020,0,594018.76
C00296137,,1994,0,5240.00
C00377440,1.0,2002,1000,1000.00
C00012757,60.0,1990,500,30700.00
C00199612,,1990,0,400.00
C00110197,57.0,1994,200,18101.00
C00406041,5.0,2024,2000,12500.00
C00324178,2.0,1996,200,500.00
C00711614,450.0,2020,200,115380.72
C00020180,1.0,1982,2000,2000.00
C00343707,2.0,2014,1000,2500.00
C00379735,152.0,2008,1000,149100.00
C00005223,20.0,1982,500,10850.00
C00229120,2.0,1990,1000,2000.00
C00003350,14.0,1984,500,7250.00
C00811679,144.0,2022,2000,403750.00
C00867887,2.0,2024,200,600.00
C00385526,3.0,2018,200,750.00
C30003222,,2020,0,
C00033779,66.0,2006,1000,67750.00
C00083287,1.0,1988,2000,2000.00
C00016014,,1978,0,9663.00
C00423046,5.0,2006,200,1250.00
C00386755,435.0,2004,1000,438600.00
C00197053,1106.0,1988,500,657014.00
C00272633,249.0,2000,200,65748.00
C00409276,28.0,2016,2000,129700.00
C00503680,147.0,2022,2000,404141.00
C00776039,2.0,2022,500,1000.00
C00299396,,2004,0,200.00
C00312777,281.0,2022,200,102074.12
C00194126,3.0,1988,500,1500.00
C00557611,283.0,2014,200,72700.00
C00683649,124.0,2020,2000,1581000.00
C00396895,1.0,2014,500,500.00
C00514125,18.0,2020,2000,349500.00
C00042382,6.0,1986,1000,6000.00
C00331215,2.0,1998,200,600.00
C00566547,6.0,2018,1000,6000.00
C00258822,34.0,1992,500,18590.00
C00279901,2070.0,2004,500,897538.00
C00374140,12.0,2002,500,6200.00
C00442046,4.0,2022,1000,4960.00
C00374231,146.0,2016,1000,155134.11
C00161810,106.0,1994,200,32526.00
C00197947,13.0,1988,500,6992.00
C00215335,3.0,1992,200,750.00
C00002238,1.0,1980,500,500.00
C00041236,10.0,2010,1000,11500.00
C00496075,366.0,2020,2000,793580.00
C00637728,38.0,2018,200,9610.18
C00565655,6.0,2014,2000,58000.00
C00325936,177.0,2008,1000,177750.00
C00324350,4.0,1996,200,1532.00
C00104752,8.0,2014,200,2102.00
C00304006,6.0,1996,200,1700.00
C00135012,1.0,1980,500,500.00
C00790006,,2022,0,224.52
C00078196,16.0,1982,1000,16250.00
C00332346,,1998,0,1000.00
C00148791,2.0,1984,500,1250.00
C00424218,9.0,2010,200,2861.12
C00167320,90.0,2004,500,51850.00
C00332619,183.0,2000,200,47000.00
C00850354,,2024,0,0.00
C00433482,18.0,2008,2000,80310.25
C00236968,9.0,2000,500,7091.00
C00387464,10.0,2004,1000,13000.00
